epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,280.627,1.29143,1.26043,1.30846,0.67655,0.64339,0.674,0.45967,0.93721,0.89759,1.111,0.000449925,0.000449925,0.000449925
11,312.818,1.27134,1.23963,1.30011,0.65005,0.6744,0.67374,0.48217,0.8741,0.87286,1.07007,0.000444981,0.000444981,0.000444981
12,340.456,1.26482,1.21725,1.2932,0.65347,0.60388,0.66273,0.46688,0.88142,0.87527,1.08934,0.000440037,0.000440037,0.000440037
13,367.824,1.29068,1.23353,1.3016,0.66643,0.62482,0.66501,0.47971,0.87066,0.8624,1.07847,0.000435094,0.000435094,0.000435094
14,395.215,1.25657,1.2021,1.289,0.64402,0.64015,0.65739,0.47315,0.85622,0.89835,1.07387,0.00043015,0.00043015,0.00043015
15,422.729,1.23805,1.16807,1.27283,0.66845,0.6219,0.66678,0.4807,0.88023,0.87767,1.08132,0.000425207,0.000425207,0.000425207
16,450.044,1.24305,1.19031,1.27876,0.62856,0.6746,0.66321,0.46509,0.89839,0.88119,1.07531,0.000420263,0.000420263,0.000420263
17,477.482,1.21763,1.12908,1.26017,0.73278,0.64876,0.70154,0.51563,0.84841,0.79697,1.05676,0.000415319,0.000415319,0.000415319
18,504.996,1.22831,1.1486,1.26707,0.66705,0.62567,0.66995,0.48084,0.87428,0.86197,1.07007,0.000410376,0.000410376,0.000410376
19,532.46,1.21843,1.12988,1.2561,0.73402,0.62383,0.69523,0.50612,0.84916,0.81261,1.05882,0.000405432,0.000405432,0.000405432
20,559.662,1.19749,1.11061,1.25001,0.68438,0.63629,0.6939,0.51079,0.87486,0.84287,1.06991,0.000400489,0.000400489,0.000400489
21,586.886,1.19717,1.10283,1.24904,0.69355,0.66727,0.69127,0.51175,0.81833,0.85927,1.05229,0.000395545,0.000395545,0.000395545
22,614.006,1.19056,1.09312,1.25022,0.69164,0.66267,0.70739,0.51571,0.82686,0.83081,1.05094,0.000390601,0.000390601,0.000390601
23,641.575,1.18468,1.07462,1.23685,0.71,0.66006,0.7043,0.51472,0.80782,0.79333,1.04037,0.000385658,0.000385658,0.000385658
24,668.751,1.16384,1.06517,1.22818,0.69356,0.66648,0.7001,0.51772,0.80828,0.80189,1.03862,0.000380714,0.000380714,0.000380714
25,696.225,1.19121,1.07675,1.25092,0.70025,0.64818,0.70313,0.52193,0.79017,0.79484,1.03119,0.000375771,0.000375771,0.000375771
26,723.772,1.1903,1.0735,1.2379,0.75816,0.6464,0.71102,0.5248,0.79767,0.78389,1.026,0.000370827,0.000370827,0.000370827
